timestamp,can_id,dlc,payload_hex,label,attack_type,attack_id,recv_time_iso
1774016617.296292,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:37.296609Z
1774016617.300746,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:37.301044Z
1774016617.494107,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:37.494517Z
1774016617.549441,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:37.549731Z
1774016617.552543,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:37.552808Z
1774016617.556761,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:37.557091Z
1774016848.731223,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:27:28.731731Z
1774016848.783815,0xc4,8,0000000000000000,benign,,,2026-03-20T14:27:28.784025Z
1774016848.786534,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:27:28.786779Z
1774016848.790564,0xba,8,033264324100000c,benign,,,2026-03-20T14:27:28.790791Z
1774016617.618507,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:37.618763Z
1774016617.663211,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:37.663478Z
1774016617.665971,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:37.666221Z
1774016617.668423,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:37.668698Z
1774016617.863868,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:37.864116Z
1774016617.912267,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:37.912532Z
1774016617.91489,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:37.915235Z
1774016617.917656,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:37.917890Z
1774016618.112917,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:38.113189Z
1774016618.16523,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:38.165497Z
1774016618.168558,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:38.168770Z
1774016618.172156,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:38.172397Z
1774016618.365869,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:38.366217Z
1774016618.412972,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:38.413195Z
1774016618.415949,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:38.416153Z
1774016618.419389,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:38.419648Z
1774016618.613556,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:38.613816Z
1774016618.663868,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:38.664180Z
1774016618.666825,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:38.667105Z
1774016618.669964,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:38.670273Z
1774016618.864452,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:38.864680Z
1774016618.918242,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:38.918488Z
1774016618.921407,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:38.921666Z
1774016618.926314,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:38.926609Z
1774016619.11888,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:39.119118Z
1774016619.165397,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:39.165601Z
1774016619.168402,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:39.168626Z
1774016619.170934,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:39.171194Z
1774016619.366047,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:39.366302Z
1774016619.411377,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:39.411762Z
1774016619.414174,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:39.414427Z
1774016619.418044,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:39.418315Z
1774016619.612004,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:39.612328Z
1774016619.660562,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:39.660784Z
1774016619.663491,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:39.663734Z
1774016619.666816,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:39.667044Z
1774016619.861252,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:39.861522Z
1774016619.905981,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:39.906246Z
1774016619.909035,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:39.909309Z
1774016619.913047,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:39.913284Z
1774016620.106726,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:40.106921Z
1774016620.15725,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:40.157504Z
1774016620.160183,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:40.160416Z
1774016620.163766,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:40.164019Z
1774016620.358284,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:40.358625Z
1774016620.409993,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:40.410243Z
1774016620.415841,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:40.416101Z
1774016620.425025,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:40.425281Z
1774016620.610595,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:40.610808Z
1774016620.664119,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:40.664370Z
1774016620.667373,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:40.667634Z
1774016620.671611,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:40.671883Z
1774016620.864791,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:40.865095Z
1774016620.91691,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:40.917176Z
1774016620.920676,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:40.920996Z
1774016620.923914,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:40.924144Z
1774016621.11755,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:41.117785Z
1774016621.161937,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:41.162208Z
1774016621.164544,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:41.164811Z
1774016621.167011,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:41.167271Z
1774016621.36261,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:41.362885Z
1774016621.407432,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:41.407687Z
1774016621.41495,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:41.415144Z
1774016621.424139,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:41.424336Z
1774016621.608084,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:41.608293Z
1774016621.680269,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:41.680488Z
1774016621.687307,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:41.687768Z
1774016621.693672,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:41.693933Z
1774016621.880607,0x1a0,8,781000f0203002ca,benign,,,2026-03-20T14:23:41.881088Z
1774016621.881076,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:41.881831Z
1774016621.951285,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:41.951482Z
1774016621.958326,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:41.958573Z
1774016621.965199,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:41.965517Z
1774016622.151867,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:42.152108Z
1774016622.238657,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:42.238948Z
1774016622.24826,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:42.248554Z
1774016622.252038,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:42.252274Z
1774016853.795919,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:27:33.796263Z
1774016853.8617,0xc4,8,0000000000000000,benign,,,2026-03-20T14:27:33.862002Z
1774016622.522015,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:42.522314Z
1774016622.537273,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:42.537557Z
1774016622.706282,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:42.706531Z
1774016622.764045,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:42.764422Z
1774016622.76736,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:42.767639Z
1774016622.772981,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:42.773268Z
1774016622.964777,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:42.964979Z
1774016623.042422,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:43.042707Z
1774016623.062082,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:43.062378Z
1774016623.066885,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:43.067148Z
1774016623.243091,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:43.243403Z
1774016623.294374,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:43.294670Z
1774016623.298445,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:43.298792Z
1774016623.302881,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:43.303173Z
1774016623.495108,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:43.495356Z
1774016623.549904,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:43.550213Z
1774016623.554301,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:43.554582Z
1774016623.558633,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:43.558916Z
1774016623.750279,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:43.750573Z
1774016623.798829,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:43.799251Z
1774016623.802818,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:43.803091Z
1774016623.80534,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:43.805564Z
1774016623.999515,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:43.999818Z
1774016624.061224,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:44.061447Z
1774016624.068752,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:44.069042Z
1774016624.071548,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:44.071827Z
1774016624.262354,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:44.262514Z
1774016624.316863,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:44.317117Z
1774016624.319749,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:44.319965Z
1774016624.322752,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:44.323020Z
1774016624.517535,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:44.517820Z
1774016624.569975,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:44.570269Z
1774016624.573411,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:44.573628Z
1774016624.576823,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:44.577079Z
1774016624.77059,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:44.770953Z
1774016624.814943,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:44.815291Z
1774016624.81822,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:44.818464Z
1774016624.822407,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:44.822651Z
1774016625.01564,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:45.015936Z
1774016625.065479,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:45.065848Z
1774016625.069344,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:45.069657Z
1774016625.073003,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:45.073263Z
1774016625.266168,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:45.266669Z
1774016625.313797,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:45.314191Z
1774016625.317214,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:45.317460Z
1774016625.32012,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:45.320417Z
1774016625.514418,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:45.514646Z
1774016625.559372,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:45.559637Z
1774016625.562269,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:45.562536Z
1774016625.564746,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:45.565040Z
1774016625.760148,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:45.760619Z
1774016625.813165,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:45.813856Z
1774016625.816719,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:45.816959Z
1774016625.821558,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:45.821814Z
1774016626.013796,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:46.014154Z
1774016626.063392,0xc4,8,0000000000000000,benign,,,2026-03-20T14:23:46.063628Z
1774016626.066537,0x1b4,8,0000000000000000,benign,,,2026-03-20T14:23:46.066834Z
1774016626.070012,0xba,8,033264324100000c,benign,,,2026-03-20T14:23:46.070226Z
1774016626.264378,0x1a0,8,000000f020300242,benign,,,2026-03-20T14:23:46.264641Z
